POINT (-94.776029 31.18296)	48	005		110211043930		C3061
POINT (-94.788974 31.180988)	48	005		110211043982		C3061
POINT (-94.80091 31.176996)	48	005		110211044163		C3061
POINT (-94.799049 31.17761)	48	005		110211049242		C3061
POINT (-94.795081 31.176925)	48	005		110211049335		C3061
POINT (-94.696783 31.332546)	48	005		110211058498		C3061
POINT (-94.784179 31.206019)	48	005		110211059174		C3061
POINT (-94.783921 31.204652)	48	005		110211059187		C3061
POINT (-94.776004 31.188599)	48	005		110211059266		C3061
POINT (-94.769546 31.182394)	48	005		110211059297		C3061
POINT (-94.782673 31.204487)	48	005		110211059315		C3061
POINT (-94.793328 31.177194)	48	005		110211059405		C3061
POINT (-94.794602 31.173347)	48	005		110211059424		C3061
POINT (-94.742972 31.27482)	48	005		110211060982		C3061
POINT (-94.705293 31.305871)	48	005		110211072265		C3061
POINT (-94.721547 31.278998)	48	005		110211073013		C3061
POINT (-94.821293 31.326337)	48	005		110211075386		C3061
POINT (-94.821479 31.326385)	48	005		110211075567		C3061
POINT (-94.765846 31.390643)	48	005		110211075695		C3061
POINT (-94.771333 31.386257)	48	005		110211075856		C3061
POINT (-94.763244 31.379326)	48	005		110211075987		C3061
POINT (-94.718736 31.270527)	48	005		110211077040		C3061
POINT (-94.393737 31.168065)	48	005		110211079041		C3061
POINT (-94.751926 31.380243)	48	005		110211081369		C3061
POINT (-94.711256 31.326315)	48	005		110211082015		C3061
POINT (-94.737885 31.313083)	48	005		110211082307		C3061
POINT (-94.724185 31.275428)	48	005		110211082579		C3061
POINT (-94.71961 31.276571)	48	005		110211082604		C3061
POINT (-94.719939 31.277333)	48	005		110211082616		C3061
POINT (-94.720575 31.277985)	48	005		110211082630		C3061
POINT (-94.723202 31.278523)	48	005		110211082636		C3061
POINT (-94.724638 31.280631)	48	005		110211082648		C3061
POINT (-94.724398 31.279734)	48	005		110211082693		C3061
POINT (-94.697554 31.296882)	48	005		110211082716		C3061
POINT (-94.698963 31.29662)	48	005		110211082727		C3061
POINT (-94.679625 31.295878)	48	005		110211086101		C3061
POINT (-94.705779 31.306497)	48	005		110211086108		C3061
POINT (-94.689439 31.317527)	48	005		110211086131		C3061
POINT (-94.710938 31.328408)	48	005		110211086194		C3061
POINT (-94.718684 31.319504)	48	005		110211086214		C3061
POINT (-94.74922 31.328472)	48	005		110211086412		C3061
POINT (-94.705631 31.348371)	48	005		110211086665		C3061
POINT (-94.704637 31.34684)	48	005		110211086673		C3061
POINT (-94.478494 31.330317)	48	005		110211087960		C3061
